A028_new
Operated by Australia
latitude -68.40 longitude 112.22 height 1622m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied byAAD

1985 05 02 16 25 -999      -45.7 -999    -999                                   
1985 05 03 05 45 -999      -41.2 -999    -999                                   
1985 05 03 09 19 -999      -40.0 -999    -999                                   
1985 05 03 10 13 -999      -39.9 -999    -999                                   
1985 05 03 11 06 -999      -40.3 -999    -999                                   
1985 05 03 16 26 -999      -41.5 -999    -999                                   
1985 05 03 17 19 -999      -42.0 -999    -999                                   
1985 05 03 18 12 -999      -42.1 -999    -999                                   
1985 05 03 19 06 -999      -42.0 -999    -999                                   
1985 05 03 20 00 -999      -41.9 -999    -999                                   
1985 05 03 20 52 -999      -42.1 -999    -999                                   
1985 05 03 21 46 -999      -42.1 -999    -999                                   
1985 05 03 22 40 -999      -42.6 -999    -999                                   
1985 05 03 23 33 -999      -42.8 -999    -999                                   
1985 05 04 00 27 -999      -44.4 -999    -999                                   
1985 05 04 02 13 -999      -44.5 -999    -999                                   
1985 05 04 04 01 -999      -44.0 -999    -999                                   
1985 05 04 05 47 -999      -43.3 -999    -999                                   
1985 05 04 07 34 -999      -43.8 -999    -999                                   
1985 05 04 09 20 -999      -42.8 -999    -999                                   
1985 05 04 11 08 -999      -42.7 -999    -999                                   
1985 05 04 12 01 -999      -41.9 -999    -999                                   
1985 05 04 12 53 -999      -41.9 -999    -999                                   
1985 05 04 13 47 -999      -41.1 -999    -999                                   
1985 05 04 14 40 -999      -41.0 -999    -999                                   
1985 05 04 15 34 -999      -41.2 -999    -999                                   
1985 05 04 17 20 -999      -41.9 -999    -999                                   
1985 05 04 19 07 -999      -41.7 -999    -999                                   
1985 05 04 20 55 -999      -41.2 -999    -999                                   
1985 05 04 22 41 -999      -41.2 -999    -999                                   
1985 05 05 00 27 -999      -41.6 -999    -999                                   
1985 05 05 02 15 -999      -41.7 -999    -999                                   
1985 05 05 04 02 -999      -41.5 -999    -999                                   
1985 05 05 05 48 -999      -40.8 -999    -999                                   
1985 05 05 08 29 -999      -40.2 -999    -999                                   
1985 05 05 09 22 -999      -40.0 -999    -999                                   
1985 05 05 10 15 -999      -38.8 -999    -999                                   
1985 05 05 11 09 -999      -38.7 -999    -999                                   
1985 05 05 15 36 -999      -36.6 -999    -999                                   
1985 05 05 17 23 -999      -35.7 -999    -999                                   
1985 05 05 20 55 -999      -35.0 -999    -999                                   
1985 05 05 21 49 -999      -34.8 -999    -999                                   
1985 05 05 22 42 -999      -34.9 -999    -999                                   
1985 05 05 23 35 -999      -35.2 -999    -999                                   
1985 05 06 01 22 -999      -35.8 -999    -999                                   
1985 05 06 04 57 -999      -35.0 -999    -999                                   
1985 05 06 05 49 -999      -34.8 -999    -999                                   
1985 05 06 06 43 -999      -35.3 -999    -999                                   
1985 05 06 07 37 -999      -35.6 -999    -999                                   
1985 05 06 08 29 -999      -36.5 -999    -999                                   
1985 05 06 10 17 -999      -36.5 -999    -999                                   
1985 05 06 12 04 -999      -36.6 -999    -999                                   
1985 05 06 13 50 -999      -37.0 -999    -999                                   
1985 05 06 15 36 -999      -37.5 -999    -999                                   
1985 05 06 17 23 -999      -37.5 -999    -999                                   
1985 05 06 18 17 -999      -37.4 -999    -999                                   
1985 05 06 19 10 -999      -37.5 -999    -999                                   
1985 05 06 21 50 -999      -37.6 -999    -999                                   
1985 05 07 01 25 -999      -38.2 -999    -999                                   
1985 05 07 03 11 -999      -39.7 -999    -999                                   
1985 05 07 04 57 -999      -38.6 -999    -999                                   
1985 05 07 06 45 -999      -38.8 -999    -999                                   
1985 05 07 08 32 -999      -38.7 -999    -999                                   
1985 05 07 10 18 -999      -38.6 -999    -999                                   
1985 05 07 11 12 -999      -38.9 -999    -999                                   
1985 05 07 12 04 -999      -38.8 -999    -999                                   
1985 05 07 12 59 -999      -39.0 -999    -999                                   
1985 05 07 13 52 -999      -39.3 -999    -999                                   
1985 05 07 14 45 -999      -40.3 -999    -999                                   
1985 05 07 15 39 -999      -40.3 -999    -999                                   
1985 05 07 16 31 -999      -41.1 -999    -999                                   
1985 05 07 18 19 -999      -42.1 -999    -999                                   
1985 05 07 20 06 -999      -42.5 -999    -999                                   
1985 05 07 20 58 -999      -42.1 -999    -999                                   
1985 05 07 21 51 -999      -42.0 -999    -999                                   
1985 05 08 03 12 -999      -41.0 -999    -999                                   
1985 05 08 06 46 -999      -40.5 -999    -999                                   
1985 05 08 07 40 -999      -40.6 -999    -999                                   
1985 05 08 08 32 -999      -40.7 -999    -999                                   
1985 05 08 11 13 -999      -41.0 -999    -999                                   
1985 05 08 12 07 -999      -40.8 -999    -999                                   
1985 05 08 12 59 -999      -40.8 -999    -999                                   
1985 05 08 14 47 -999      -40.6 -999    -999                                   
1985 05 08 15 40 -999      -40.3 -999    -999                                   
1985 05 08 16 34 -999      -40.4 -999    -999                                   
1985 05 08 18 20 -999      -40.3 -999    -999                                   
1985 05 08 21 01 -999      -40.4 -999    -999                                   
1985 05 09 00 33 -999      -40.8 -999    -999                                   
1985 05 09 02 20 -999      -41.1 -999    -999                                   
1985 05 09 03 14 -999      -41.0 -999    -999                                   
1985 05 09 08 35 -999      -41.0 -999    -999                                   
1985 05 09 09 27 -999      -41.1 -999    -999                                   
1985 05 09 10 21 -999      -40.7 -999    -999                                   
1985 05 09 11 15 -999      -40.6 -999    -999                                   
1985 05 09 13 01 -999      -40.7 -999    -999                                   
1985 05 09 14 48 -999      -40.5 -999    -999                                   
1985 05 09 15 42 -999      -40.5 -999    -999                                   
1985 05 09 16 34 -999      -40.5 -999    -999                                   
1985 05 09 17 28 -999      -40.6 -999    -999                                   
1985 05 09 18 22 -999      -40.8 -999    -999                                   
1985 05 09 19 15 -999      -40.8 -999    -999                                   
1985 05 09 21 54 -999      -40.7 -999    -999                                   
1985 05 09 23 42 -999      -31.8 -999    -999                                   
1985 05 10 01 28 -999      -39.9 -999    -999                                   
1985 05 10 03 15 -999      -39.0 -999    -999                                   
1985 05 10 09 28 -999      -36.7 -999    -999                                   
1985 05 10 11 16 -999      -36.2 -999    -999                                   
1985 05 10 12 08 -999      -36.1 -999    -999                                   
1985 05 10 13 02 -999      -35.9 -999    -999                                   
1985 05 10 13 56 -999      -35.5 -999    -999                                   
1985 05 10 14 49 -999      -35.0 -999    -999                                   
1985 05 10 16 36 -999      -34.1 -999    -999                                   
1985 05 10 17 29 -999      -34.3 -999    -999                                   
1985 05 10 18 23 -999      -34.3 -999    -999                                   
1985 05 10 19 17 -999      -34.4 -999    -999                                   
1985 05 10 20 10 -999      -34.8 -999    -999                                   
