Noel
Operated by US
latitude -79.33 longitude -111.08 height 1833m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

2000 02 05 12 00   781.1   -17.5    15.2    60                                  
2000 02 05 15 00   780.2   -17.4    18.7    53                                  
2000 02 05 18 00   779.9   -16.2    24.0    46                                  
2000 02 05 21 00   779.6   -15.9    21.6    57                                  
2000 02 06 00 00   779.8   -15.9    18.7    53                                  
2000 02 06 03 00   779.7   -16.2    16.2    56                                  
2000 02 06 06 00   779.9   -17.9    21.6    63                                  
2000 02 06 09 00   780.1   -18.5    17.2    60                                  
2000 02 06 12 00   780.3   -19.5    16.8    66                                  
2000 02 06 15 00   780.4   -18.2    15.2    59                                  
2000 02 06 18 00   780.5   -17.4    11.3    66                                  
2000 02 06 21 00   780.4   -16.1    10.7    57                                  
2000 02 07 00 00   780.2   -16.0     8.4    70                                  
2000 02 07 03 00   779.4   -17.9     5.8   125                                  
2000 02 07 06 00   778.7   -17.1    12.3    47                                  
2000 02 07 09 00   778.0   -20.2     2.9    87                                  
2000 02 07 12 00   777.7   -16.0     3.5    45                                  
2000 02 07 15 00   777.1   -16.1     9.4    60                                  
2000 02 07 18 00   777.0   -15.6     4.9   358                                  
2000 02 07 21 00   776.8   -14.9     7.8   302                                  
2000 02 08 00 00   776.9   -14.8     4.5   331                                  
2000 02 08 03 00   776.4   -19.9     7.8   360                                  
2000 02 08 06 00   776.6   -20.8     9.4   360                                  
2000 02 08 09 00   776.9   -22.1     3.5   293                                  
2000 02 08 12 00   777.0   -24.2     6.4   358                                  
2000 02 08 15 00   777.5   -26.1     1.0   300                                  
2000 02 08 18 00   777.8   -25.5     6.8   358                                  
2000 02 08 21 00   778.2   -22.2     8.4     4                                  
2000 02 09 00 00   778.4   -20.6    20.1   351                                  
2000 02 09 03 00   778.7   -20.2    11.7   347                                  
2000 02 09 06 00   779.7   -20.9    10.7   338                                  
2000 02 09 09 00   780.2   -21.4     9.4   337                                  
2000 02 09 12 00   781.2   -22.6     5.5   357                                  
2000 02 09 15 00   782.3   -20.1    10.7   220                                  
2000 02 09 18 00   783.3   -21.4     9.4   174                                  
2000 02 09 21 00   784.1   -19.0    16.8   185                                  
2000 02 10 00 00   784.9   -18.9    18.1   180                                  
2000 02 10 03 00   785.5   -19.1    18.7   202                                  
2000 02 10 06 00   786.2   -21.9    12.3   187                                  
2000 02 10 09 00   786.8   -26.0    12.9   217                                  
2000 02 10 12 00   787.5   -20.4     8.4   203                                  
2000 02 10 15 00   787.5   -18.4     6.8   184                                  
2000 02 10 18 00   787.8   -15.8     3.5   181                                  
2000 02 10 21 00   787.6   -14.2    13.3   227                                  
2000 02 11 00 00   787.3   -15.2    13.8   234                                  
2000 02 11 03 00   787.4   -15.9    16.2   223                                  
2000 02 11 06 00   787.3   -15.6    11.3   210                                  
2000 02 11 09 00   787.2   -16.5    12.9   191                                  
2000 02 11 12 00   787.6   -18.5    14.2   177                                  
2000 02 11 15 00   787.5   -18.4    17.7   189                                  
2000 02 11 18 00   787.3   -17.2    17.2   167                                  
2000 02 11 21 00   786.8   -17.8    10.7   160                                  
2000 02 12 00 00   785.9   -21.2     3.5   144                                  
2000 02 12 03 00   784.5   -21.5    10.7   147                                  
2000 02 12 06 00   783.3   -22.2     9.8   130                                  
2000 02 12 09 00   782.1   -29.9     2.0   125                                  
2000 02 12 12 00   780.8   -30.2     6.8   111                                  
2000 02 12 15 00   779.7   -27.6     2.0   132                                  
2000 02 12 18 00   778.7   -24.4     5.5    75                                  
2000 02 12 21 00   778.4   -20.0     2.9    39                                  
2000 02 13 00 00   778.3   -19.8     0.0     0                                  
2000 02 13 03 00   778.0   -24.2     6.4    45                                  
2000 02 13 06 00   778.1   -29.5     6.4    35                                  
2000 02 13 09 00   778.5   -31.0     8.8    21                                  
2000 02 13 12 00   779.0   -29.6     9.4    14                                  
2000 02 13 15 00   779.4   -27.9     9.4    25                                  
2000 02 13 18 00   779.8   -25.8    11.3    21                                  
2000 02 13 21 00   779.9   -22.8     6.4    36                                  
2000 02 14 00 00   780.1   -22.2     3.9    30                                  
2000 02 14 03 00   779.8   -26.2     5.8    30                                  
2000 02 14 06 00   779.6   -31.1     6.4    47                                  
2000 02 14 09 00   779.2   -32.9     8.4    52                                  
2000 02 14 12 00   779.3   -31.2     5.8    45                                  
2000 02 14 15 00   779.1   -27.9     6.8    67                                  
2000 02 14 18 00   779.3   -24.2    10.3    64                                  
2000 02 14 21 00   779.6   -21.2     8.8    36                                  
2000 02 15 00 00   780.3   -22.1     8.4    46                                  
2000 02 15 03 00   781.1   -26.4     9.8    46                                  
2000 02 15 06 00   782.0   -31.1    13.3    39                                  
2000 02 15 09 00   782.5   -32.1    14.2    46                                  
2000 02 15 12 00   784.0   -26.6     5.5    40                                  
2000 02 15 15 00   784.3   -22.8     6.4    59                                  
2000 02 15 18 00   784.4   -20.2     9.4    64                                  
2000 02 15 21 00   784.3   -17.6     7.8    30                                  
2000 02 16 00 00   784.4   -16.8     3.5    29                                  
2000 02 16 03 00   784.0   -17.2     5.5    22                                  
2000 02 16 06 00   783.5   -17.8     2.9    60                                  
2000 02 16 09 00   783.2   -18.0     0.6    77                                  
2000 02 16 12 00   782.8   -18.9     3.5   118                                  
2000 02 16 15 00   782.3   -18.0     4.9   154                                  
2000 02 16 18 00   782.2   -17.1     8.8   132                                  
2000 02 16 21 00   781.8   -19.6    10.7   105                                  
2000 02 17 00 00   781.4   -21.0     7.4   150                                  
2000 02 17 03 00   780.7   -25.5     8.4   113                                  
2000 02 17 06 00   780.1   -30.4     7.8    70                                  
2000 02 17 09 00   779.5   -31.5     9.8    63                                  
2000 02 17 12 00   778.6   -29.9    11.3    54                                  
2000 02 17 15 00   777.4   -27.5     8.4    54                                  
2000 02 17 18 00   776.1   -25.0     9.8    42                                  
2000 02 17 21 00   775.1   -24.2    13.3    39                                  
2000 02 18 00 00   774.4   -24.0    11.3    42                                  
2000 02 18 03 00   773.1   -27.4    12.3    53                                  
2000 02 18 06 00   772.0   -28.1    17.7    36                                  
2000 02 18 09 00   771.3   -24.9    19.1    53                                  
2000 02 18 12 00   770.5   -22.8    28.5    43                                  
2000 02 18 15 00   770.4   -21.2    22.6    42                                  
2000 02 18 18 00   770.1   -20.2    29.1    40                                  
2000 02 18 21 00   770.6   -19.9    25.2    30                                  
2000 02 19 00 00   770.4   -21.0    33.3    28                                  
2000 02 19 03 00   771.0   -22.8    21.6    29                                  
2000 02 19 06 00   771.9   -23.1    23.6    32                                  
2000 02 19 09 00   772.5   -21.9    15.8    53                                  
2000 02 19 12 00   772.8   -21.9    13.8    52                                  
2000 02 19 15 00   772.9   -20.4    18.1    49                                  
2000 02 19 18 00   772.8   -19.2    25.5    54                                  
2000 02 19 21 00   773.2   -19.5    30.0    46                                  
2000 02 20 00 00   772.9   -17.6    28.5    46                                  
2000 02 20 03 00   773.1   -18.4    29.1    40                                  
2000 02 20 06 00   772.7   -19.5    31.4    47                                  
2000 02 20 09 00   772.6   -20.0    22.0    40                                  
2000 02 20 12 00   772.7   -22.5    19.1    57                                  
2000 02 20 15 00   772.5   -19.1    20.7    50                                  
2000 02 20 18 00   772.5   -18.2    25.5    39                                  
2000 02 20 21 00   772.6   -19.2    10.3    32                                  
2000 02 21 00 00   773.1   -20.4    11.7    37                                  
2000 02 21 03 00   773.1   -19.1    19.1    22                                  
2000 02 21 06 00   773.4   -19.5    14.8    32                                  
2000 02 21 09 00   773.9   -19.6    13.8    46                                  
2000 02 21 12 00   774.4   -20.9    13.8    28                                  
2000 02 21 15 00   774.5   -20.8    15.8    25                                  
2000 02 21 18 00   775.1   -19.9    10.3     4                                  
2000 02 21 21 00   775.1   -19.6     9.8    42                                  
2000 02 22 00 00   774.9   -20.0    10.7    39                                  
2000 02 22 03 00   774.4   -26.0     4.9    78                                  
2000 02 22 06 00   774.5   -26.1    10.7    47                                  
2000 02 22 09 00   774.2   -28.5    10.7    67                                  
2000 02 22 12 00   774.1   -29.2    10.7    82                                  
2000 02 22 15 00   773.5   -27.1    16.8    80                                  
2000 02 22 18 00   773.3   -24.5    15.2    80                                  
2000 02 22 21 00   773.6   -20.8    12.9    61                                  
2000 02 23 00 00   773.8   -19.5    17.7    46                                  
2000 02 23 03 00   774.5   -24.5    10.3    57                                  
2000 02 23 06 00   775.1   -21.9    13.3    57                                  
2000 02 23 09 00   776.1   -25.1    13.8    59                                  
2000 02 23 12 00   777.6   -23.5    15.8    33                                  
2000 02 23 15 00   778.9   -23.6    17.7    35                                  
2000 02 23 18 00   780.3   -22.6    24.0    14                                  
2000 02 23 21 00   781.9   -21.9    19.7    21                                  
2000 02 24 00 00   782.6   -21.1    23.6     8                                  
2000 02 24 03 00   782.3   -20.8    34.9     2                                  
2000 02 24 06 00   782.3   -21.2    33.0    11                                  
2000 02 24 09 00   780.9   -22.0    34.3    12                                  
2000 02 24 12 00   780.4   -22.8    36.9    12                                  
2000 02 24 15 00   778.0   -22.6    45.2    18                                  
2000 02 24 18 00   778.2   -20.9    28.1     7                                  
2000 02 24 21 00   778.0   -20.4    26.5   360                                  
2000 02 25 00 00   777.0   -19.5    37.4   360                                  
2000 02 25 03 00   776.3   -19.1    29.4     1                                  
2000 02 25 06 00   777.0   -18.6    24.6   360                                  
2000 02 25 09 00   776.5   -17.9    18.7    18                                  
2000 02 25 12 00   775.5   -17.5    22.6    42                                  
2000 02 25 15 00   773.2   -18.2    29.4    54                                  
2000 02 25 18 00   771.2   -17.5    30.4    52                                  
2000 02 25 21 00   767.8   -16.2    31.0    53                                  
2000 02 26 00 00   765.4   -14.5    35.3    43                                  
2000 02 26 03 00   761.5   -13.8    35.3    46                                  
2000 02 26 06 00   759.0   -12.1    36.3    25                                  
2000 02 26 09 00   758.6   -14.9    39.4    40                                  
2000 02 26 12 00   759.3   -17.9    24.0    30                                  
2000 02 26 15 00   760.0   -15.5    17.2    16                                  
2000 02 26 18 00   762.1   -14.4    33.9   360                                  
2000 02 26 21 00   764.2   -14.2    32.4   360                                  
2000 02 27 00 00   766.9   -14.4    29.1     2                                  
2000 02 27 03 00   768.4   -14.8    27.1   360                                  
2000 02 27 06 00   770.8   -15.1    19.1   351                                  
2000 02 27 09 00   773.5   -18.2     2.9   237                                  
2000 02 27 12 00   776.0   -19.5     4.5   160                                  
2000 02 27 15 00   777.6   -19.5     5.8     8                                  
2000 02 27 18 00   778.9   -20.2     7.8    33                                  
2000 02 27 21 00   780.0   -20.9     7.4    42                                  
2000 02 28 00 00   780.3   -22.6     7.8    30                                  
2000 02 28 03 00   780.2   -24.2     6.8   351                                  
2000 02 28 06 00   780.0   -25.2     6.8   360                                  
2000 02 28 09 00   780.1   -25.8     4.5   341                                  
2000 02 28 12 00   779.2   -29.0     4.9    26                                  
2000 02 28 15 00   778.7   -27.6     5.5    21                                  
2000 02 28 18 00   777.9   -23.5     5.8   355                                  
2000 02 28 21 00   777.0   -20.2     2.5   354                                  
2000 02 29 00 00   776.0   -20.6     2.9   344                                  
2000 02 29 03 00   774.2   -23.1     4.5    61                                  
2000 02 29 06 00   773.0   -23.8     2.0    49                                  
2000 02 29 09 00   772.3   -23.9     6.4    16                                  
2000 02 29 12 00   771.4   -25.2     5.5    29                                  
2000 02 29 15 00   771.3   -24.8     6.4    37                                  
2000 02 29 18 00   770.6   -22.0     9.8    21                                  
2000 02 29 21 00   770.8   -23.1     8.8    54                                  
2000 03 01 00 00   770.7   -24.2    11.7    22                                  
2000 03 01 03 00   770.3   -24.2    15.8    21                                  
2000 03 01 06 00   770.4   -26.8    10.7    37                                  
2000 03 01 09 00   769.9   -32.0    16.2    59                                  
2000 03 01 12 00   769.7   -26.2    18.7    67                                  
2000 03 01 15 00   769.4   -22.1    24.0    54                                  
2000 03 01 18 00   769.0   -21.9    35.3    47                                  
2000 03 01 21 00   769.0   -21.5    33.9    47                                  
2000 03 02 00 00   769.1   -22.5    33.3    42                                  
2000 03 02 03 00   769.2   -24.6    30.0    43                                  
2000 03 02 06 00   769.5   -23.6    33.0    46                                  
2000 03 02 09 00   770.4   -23.8    33.0    43                                  
2000 03 02 12 00   770.7   -24.5    26.1    50                                  
2000 03 02 15 00   771.0   -26.4    24.6    56                                  
2000 03 02 18 00   771.0   -25.0    29.4    49                                  
2000 03 02 21 00   771.3   -24.4    25.5    54                                  
2000 03 03 00 00   771.5   -24.2    24.6    45                                  
2000 03 03 03 00   772.2   -25.0    21.1    45                                  
2000 03 03 06 00   773.0   -28.1    20.1    39                                  
2000 03 03 09 00   773.2   -30.2    15.2    40                                  
2000 03 03 12 00   773.3   -32.0    18.1    52                                  
2000 03 03 15 00   773.4   -32.2    14.8    57                                  
2000 03 03 18 00   773.0   -28.6    28.5    47                                  
