Buckle Island
Operated by US
latitude -66.87 longitude 163.24 height 520m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1987 03 13 18 00   923.1    -3.0    14.4    42                                  
1987 03 13 21 00   921.8    -2.4    14.4    53                                  
1987 03 14 00 00   919.3    -1.9    12.5    42                                  
1987 03 14 03 00   915.8    -2.0     7.8    39                                  
1987 03 14 06 00   914.4    -1.9    15.4   295                                  
1987 03 14 09 00   915.7    -4.0    10.5   311                                  
1987 03 14 12 00   916.0    -4.6     5.8   331                                  
1987 03 14 15 00   916.1    -4.4     4.3   352                                  
1987 03 14 18 00   916.2    -3.2    10.5   319                                  
1987 03 14 21 00   917.4    -3.2     1.4   354                                  
1987 03 15 00 00   918.3    -2.9     3.9   273                                  
1987 03 15 03 00   919.7    -4.7    11.1   309                                  
1987 03 15 06 00   921.1    -5.2    14.4   280                                  
1987 03 15 09 00   922.8    -4.1    19.3   284                                  
1987 03 15 12 00   925.9    -4.7    17.7   270                                  
1987 03 15 15 00   928.5    -5.0    11.1   276                                  
1987 03 15 18 00   930.7    -4.9     2.0   287                                  
1987 03 15 21 00   932.8    -4.4     0.0     0                                  
1987 03 16 00 00   934.3    -3.1     0.0     0                                  
1987 03 16 03 00   935.7    -2.9     0.0     0                                  
1987 03 16 06 00   936.7    -5.7     0.0     0                                  
1987 03 16 09 00   938.3    -4.9     0.0     0                                  
1987 03 16 12 00   938.4    -3.6     0.0     0                                  
1987 03 16 15 00   937.3    -2.9     0.0     0                                  
1987 03 16 18 00   934.0    -2.0     0.0     0                                  
1987 03 16 21 00   928.3    -2.0     0.0     0                                  
1987 03 17 03 00   927.9    -1.1    30.8   277                                  
1987 03 17 06 00   930.9    -1.6    37.6   263                                  
1987 03 17 09 00   935.5    -2.0    31.8   267                                  
1987 03 17 12 00   938.0    -2.4    22.6   281                                  
1987 03 17 15 00   937.0    -1.9    20.7   290                                  
1987 03 17 18 00   936.5    -1.6    19.7   300                                  
1987 03 17 21 00   936.2    -1.6    19.3   297                                  
1987 03 18 00 00   936.0    -1.1    14.0   316                                  
1987 03 18 03 00   935.2    -1.1    22.6   283                                  
1987 03 18 06 00   935.8    -2.5    22.6   271                                  
1987 03 18 09 00   935.8    -3.5    24.6   284                                  
1987 03 18 12 00   935.4    -4.7    24.6   283                                  
1987 03 18 15 00   934.4    -4.6    21.6   284                                  
1987 03 18 18 00   932.0    -4.9     9.2   328                                  
1987 03 18 21 00   928.5    -3.1     0.0     0                                  
