Mt Erebus
Operated by US
latitude -77.53 longitude 167.13 height 3700m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1989 12 16 18 00   606.2   -23.4     6.4   154                                  
1989 12 16 21 00   606.2   -23.9     7.0   136                                  
1989 12 17 00 00   606.5   -23.0     5.5    67                                  
1989 12 17 03 00   606.5   -22.6     3.9    74                                  
1989 12 17 06 00   606.6   -22.9     0.6     0                                  
1989 12 17 09 00   606.7   -23.3     0.0     0                                  
1989 12 17 12 00   606.6   -22.8     3.9    85                                  
1989 12 17 15 00   606.4   -20.9     1.0    46                                  
1989 12 17 18 00   606.2   -20.0     2.5    68                                  
1989 12 17 21 00   606.1   -20.3     3.5   105                                  
1989 12 18 00 00   606.0   -20.6     0.0     0                                  
1989 12 18 03 00   605.6   -21.5     1.6    63                                  
1989 12 18 06 00   605.4   -19.8     0.0     0                                  
1989 12 18 09 00   605.1   -21.1     2.5   102                                  
1989 12 18 12 00   604.9   -19.3     0.0     0                                  
1989 12 18 15 00   604.3   -18.6     0.0     0                                  
1989 12 18 18 00   604.1   -17.3     0.0     0                                  
1989 12 18 21 00   604.0   -17.6     2.5   172                                  
1989 12 19 00 00   603.7   -22.1     2.9   151                                  
1989 12 19 03 00   603.7   -19.9     2.9   212                                  
1989 12 19 06 00   603.4   -20.3     0.0     0                                  
1989 12 19 09 00   603.2   -22.1     3.9   213                                  
1989 12 19 12 00   603.0   -22.1     3.5   196                                  
1989 12 19 15 00   602.8   -21.4     0.6     0                                  
1989 12 19 18 00   602.8   -19.8     2.5   203                                  
1989 12 19 21 00   603.3   -18.8     3.9   177                                  
1989 12 20 03 00   603.9   -19.3     3.9   181                                  
1989 12 20 06 00   604.2   -17.5     2.5   133                                  
1989 12 20 09 00   604.5   -18.9     2.0   135                                  
1989 12 20 12 00   604.6   -19.0     3.5   116                                  
1989 12 20 15 00   604.5   -18.9     3.5   139                                  
1989 12 20 18 00   604.8   -18.5     7.0   108                                  
1989 12 20 21 00   605.5   -18.1     5.8    88                                  
1989 12 21 00 00   606.5   -18.8     1.6    94                                  
1989 12 21 03 00   607.0   -17.3     2.9   133                                  
1989 12 21 06 00   607.6   -16.9     1.0   253                                  
1989 12 21 09 00   607.6   -16.8     0.0     0                                  
1989 12 21 12 00   607.7   -18.5     0.0     0                                  
1989 12 21 15 00   607.2   -20.6    13.8   302                                  
1989 12 21 18 00   607.3   -20.6     2.9   281                                  
1989 12 21 21 00   607.4   -20.3     6.4   274                                  
1989 12 22 00 00   607.3   -18.1     2.0   102                                  
1989 12 22 03 00   606.4   -22.4     2.9   268                                  
1989 12 22 06 00   605.5   -24.1     8.0   232                                  
1989 12 22 09 00   605.0   -24.8    12.9   210                                  
1989 12 22 12 00   604.9   -25.1    14.8   208                                  
1989 12 22 15 00   605.0   -23.6    16.8   206                                  
1989 12 22 18 00   605.5   -22.1     9.9   202                                  
1989 12 22 21 00   606.2   -21.1     8.4   203                                  
1989 12 23 00 00   606.8   -22.4     7.0   184                                  
1989 12 23 03 00   607.4   -18.6     5.5   217                                  
1989 12 23 06 00   608.0   -18.3     4.9   250                                  
1989 12 23 09 00   608.3   -21.1     9.9   236                                  
1989 12 23 12 00   608.8   -21.5     0.0     0                                  
1989 12 23 15 00   609.0   -18.5     2.9   351                                  
1989 12 23 18 00   609.2   -18.5     0.0     0                                  
1989 12 24 00 00   609.6   -22.3     1.0   127                                  
1989 12 24 03 00   609.6   -23.1     4.5   120                                  
1989 12 24 06 00   609.8   -23.3     5.5   125                                  
1989 12 24 09 00   610.0   -24.8     7.4   161                                  
1989 12 24 12 00   610.2   -25.0    10.3   150                                  
1989 12 24 15 00   610.1   -24.0     6.4   164                                  
1989 12 24 18 00   609.6   -21.1     0.6     0                                  
1989 12 24 21 00   608.8   -23.0     1.0   205                                  
1989 12 25 00 00   607.3   -27.4     9.0   210                                  
1989 12 25 03 00   606.4   -28.3     8.0   257                                  
1989 12 25 06 00   605.3   -28.3     3.9   278                                  
1989 12 25 09 00   604.2   -30.4     0.0     0                                  
1989 12 25 12 00   603.8   -31.1    13.8   194                                  
1989 12 25 15 00   602.9   -29.8    17.4   171                                  
1989 12 25 18 00   603.0   -29.0    12.5   154                                  
1989 12 25 21 00   602.6   -29.0    16.4   150                                  
1989 12 26 00 00   602.3   -29.4    13.8   157                                  
1989 12 26 03 00   601.2   -29.3    16.4   174                                  
1989 12 26 06 00   600.3   -28.8    23.2   158                                  
1989 12 26 09 00   600.1   -27.6    19.3   170                                  
1989 12 26 12 00   599.6   -27.4    24.8   168                                  
1989 12 26 15 00   598.7   -28.0    20.3   160                                  
1989 12 26 18 00   598.5   -27.6    23.2   182                                  
1989 12 26 21 00   598.7   -27.0    18.9   174                                  
1989 12 27 00 00   599.4   -27.5    18.9   168                                  
1989 12 27 03 00   599.7   -27.6    14.4   172                                  
1989 12 27 06 00   600.4   -27.4    13.8   175                                  
1989 12 27 09 00   601.4   -26.9    11.3   164                                  
1989 12 27 12 00   602.1   -27.0    12.5   158                                  
1989 12 27 15 00   602.9   -24.9     5.8   177                                  
1989 12 27 18 00   603.5   -25.0     9.4   178                                  
1989 12 27 21 00   604.4   -25.0     8.4   174                                  
1989 12 28 03 00   605.2   -23.6     4.5   209                                  
1989 12 28 06 00   605.4   -22.4     0.0     0                                  
1989 12 28 09 00   605.2   -21.5     2.0   293                                  
1989 12 28 12 00   604.6   -22.1     0.0     0                                  
1989 12 28 15 00   603.3   -22.1     0.0     0                                  
1989 12 28 18 00   602.7   -18.6     0.0     0                                  
1989 12 28 21 00   602.0   -18.1     0.0     0                                  
1989 12 29 00 00   601.1   -21.0     0.6     0                                  
1989 12 29 03 00   600.3   -21.8     1.0   119                                  
1989 12 29 06 00   599.2   -22.1    18.3   307                                  
1989 12 29 09 00   599.2   -20.4     0.0     0                                  
1989 12 29 12 00   599.0   -20.6     0.0     0                                  
1989 12 29 15 00   598.9   -18.5     0.0     0                                  
1989 12 29 18 00   598.9   -19.3     2.9    57                                  
1989 12 29 21 00   599.6   -21.3     2.9    95                                  
1989 12 30 00 00   599.9   -19.9     1.6   338                                  
1989 12 30 03 00   600.4   -21.8     1.6   181                                  
1989 12 30 06 00   600.8   -22.4     4.5   178                                  
1989 12 30 09 00   601.1   -24.0     6.4   164                                  
1989 12 30 12 00   601.3   -23.5     2.9   144                                  
1989 12 30 15 00   601.4   -22.4     2.5   201                                  
1989 12 30 18 00   601.6   -23.3     4.9   226                                  
1989 12 30 21 00   602.0   -20.9     0.0     0                                  
1989 12 31 00 00   602.1   -21.4     1.0   337                                  
1989 12 31 03 00   602.3   -21.8     0.6     0                                  
1989 12 31 06 00   602.2   -22.5     0.0     0                                  
1989 12 31 09 00   601.8   -25.0     0.0     0                                  
1989 12 31 12 00   601.4   -23.9     0.0     0                                  
1989 12 31 15 00   601.0   -22.9     1.6   150                                  
1989 12 31 18 00   600.7   -22.5     0.0     0                                  
1989 12 31 21 00   600.6   -23.4     5.8    75                                  
1990 01 01 03 00   600.9   -27.5     8.4   360                                  
1990 01 01 06 00   601.3   -28.1    11.3    21                                  
1990 01 01 09 00   601.5   -28.4     2.5    50                                  
1990 01 01 12 00   601.9   -27.8     1.0    37                                  
1990 01 01 15 00   601.4   -26.9     3.5    68                                  
1990 01 01 18 00   601.4   -26.0     1.6    68                                  
1990 01 01 21 00   601.5   -22.6     2.0    80                                  
1990 01 02 00 00   601.5   -25.6     3.9    67                                  
1990 01 02 03 00   601.4   -25.8     6.4    49                                  
1990 01 02 06 00   601.7   -23.8     0.0     0                                  
1990 01 02 09 00   601.6   -25.0     2.0   288                                  
1990 01 02 12 00   601.8   -26.3     4.5    36                                  
1990 01 02 15 00   602.3   -23.6     4.5    22                                  
1990 01 02 18 00   602.7   -21.3     3.5    49                                  
1990 01 02 21 00   603.4   -21.5     2.9    56                                  
1990 01 03 00 00   604.1   -23.0     2.5    33                                  
1990 01 03 03 00   604.4   -24.0     3.9    66                                  
1990 01 03 06 00   604.6   -20.3     0.0     0                                  
1990 01 03 09 00   604.2   -21.1     0.0     0                                  
1990 01 03 12 00   603.5   -22.3     0.0     0                                  
1990 01 03 15 00   602.2   -22.6     0.0     0                                  
1990 01 03 18 00   601.2   -23.3     0.0     0                                  
1990 01 03 21 00   600.7   -19.0     0.0     0                                  
1990 01 04 00 00   600.3   -22.9     6.4   272                                  
1990 01 04 03 00   600.3   -21.8     0.0     0                                  
1990 01 04 06 00   599.7   -23.1    10.3   313                                  
1990 01 04 09 00   599.6   -23.6     3.9   164                                  
1990 01 04 12 00   599.2   -24.3    10.9    19                                  
1990 01 04 15 00   598.9   -24.6    11.9     9                                  
1990 01 04 18 00   599.0   -24.3     7.4     4                                  
1990 01 04 21 00   599.0   -24.5    14.8     4                                  
1990 01 05 00 00   599.6   -23.6    11.9    14                                  
1990 01 05 03 00   599.8   -25.0    15.4   360                                  
1990 01 05 06 00   600.6   -26.0    11.3    50                                  
1990 01 05 09 00   601.3   -27.1     7.4    74                                  
1990 01 05 12 00   601.7   -27.6    11.9   101                                  
1990 01 05 15 00   602.2   -27.1     7.4   113                                  
1990 01 05 18 00   602.6   -24.3     4.9   120                                  
1990 01 05 21 00   603.0   -25.5     3.5   120                                  
1990 01 06 03 00   602.8   -26.9     9.0   109                                  
1990 01 06 06 00   602.6   -28.1     9.4   101                                  
1990 01 06 09 00   602.6   -25.1     3.9   142                                  
1990 01 06 12 00   602.2   -25.4     7.0   196                                  
1990 01 06 15 00   601.3   -26.6     9.4   168                                  
1990 01 06 18 00   601.4   -25.4     8.4   170                                  
1990 01 06 21 00   601.4   -25.9     9.9   189                                  
1990 01 07 03 00   601.4   -28.0     5.5   212                                  
1990 01 07 06 00   601.5   -27.8     9.9   220                                  
1990 01 07 09 00   601.6   -26.0     7.4   289                                  
1990 01 07 12 00   601.4   -24.3     0.0     0                                  
1990 01 07 15 00   601.2   -24.3     2.0   330                                  
1990 01 07 18 00   600.9   -25.3    11.3   282                                  
1990 01 07 21 00   601.2   -24.0     9.0   296                                  
1990 01 08 00 00   600.9   -22.9     0.0     0                                  
1990 01 08 03 00   600.7   -21.6    10.3   133                                  
1990 01 08 06 00   600.2   -21.8     0.0     0                                  
1990 01 08 09 00   599.5   -22.9     2.5   230                                  
1990 01 08 12 00   599.4   -23.3     5.8   319                                  
1990 01 08 15 00   598.6   -24.0    12.5    29                                  
1990 01 08 18 00   598.9   -23.5     2.0   127                                  
1990 01 08 21 00   599.1   -24.0    28.3   309                                  
1990 01 09 00 00   599.9   -23.6    20.3   293                                  
1990 01 09 03 00   600.7   -21.1    11.3    22                                  
1990 01 09 06 00   600.4   -22.4     8.0    21                                  
1990 01 09 09 00   600.4   -23.0     3.5    28                                  
1990 01 09 12 00   600.1   -25.3     7.4    74                                  
1990 01 09 15 00   599.8   -24.3     7.0   344                                  
1990 01 09 18 00   599.7   -24.9    12.9     5                                  
1990 01 09 21 00   600.3   -22.3     0.0     0                                  
1990 01 10 00 00   600.5   -22.8     7.4   101                                  
1990 01 10 03 00   600.3   -23.9     2.9   111                                  
1990 01 10 06 00   600.3   -25.6     7.0   154                                  
1990 01 10 09 00   600.2   -25.5     5.5   167                                  
1990 01 10 12 00   600.3   -25.8     7.4   119                                  
1990 01 10 15 00   600.2   -27.0     9.9   133                                  
1990 01 10 18 00   600.7   -25.8     9.4   172                                  
1990 01 10 21 00   601.0   -25.4    14.4   172                                  
