Nancy
Operated by US
latitude -77.91 longitude 168.17 height 25m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1983 01 17 00 00   994.8 -999       11.7   180                                  
1983 02 03 03 00  1011.7   -11.9     1.8   162                                  
1983 02 03 06 00  1011.9    -9.5     0.0     0                                  
1983 02 03 09 00  1010.7   -11.8     0.0     0                                  
1983 02 03 12 00  1009.7   -14.3     4.1   161                                  
1983 02 03 15 00  1008.5   -13.9     4.5    75                                  
1983 02 03 18 00  1007.6   -11.9     1.0     0                                  
1983 02 03 21 00  1007.3   -11.5     2.7    37                                  
1983 02 04 00 00  1007.1   -11.3     0.4     0                                  
1983 02 04 03 00  1006.4    -4.0     1.0     0                                  
1983 02 04 06 00  1006.9    -4.3     4.1    65                                  
1983 02 04 09 00  1007.6   -12.4     1.0     0                                  
1983 02 04 12 00  1008.5   -10.1     1.4    57                                  
1983 02 04 15 00  1010.3   -13.9     1.0     0                                  
1983 02 04 18 00  1011.3    -8.9     1.8    76                                  
1983 02 04 21 00  1013.3    -6.8     1.8   108                                  
1983 02 05 00 00  1014.8    -5.0     1.0     0                                  
1983 02 05 03 00  1015.5    -6.0     3.5   180                                  
1983 02 05 06 00  1015.9    -9.6     3.1   184                                  
1983 02 05 09 00  1015.7   -12.4     1.8    37                                  
1983 02 05 12 00  1015.6   -13.5     0.4     0                                  
1983 02 05 15 00  1015.1   -13.9     0.4     0                                  
1983 02 05 18 00  1013.8   -14.1     0.0     0                                  
1983 02 05 21 00  1012.0    -8.8     1.0     0                                  
1983 02 06 00 00  1010.5    -5.6     0.0     0                                  
1983 02 06 03 00  1008.9    -4.6     0.0     0                                  
1983 02 06 06 00  1009.3   -10.0    10.7   187                                  
1983 02 06 09 00  1011.1   -12.4     8.6   170                                  
1983 02 06 12 00  1013.3   -17.9     5.5   141                                  
1983 02 06 15 00  1015.0   -22.4     0.4     0                                  
1983 02 06 18 00  1016.1   -18.6     0.4     0                                  
1983 02 06 21 00  1016.8   -13.6     0.0     0                                  
1983 02 07 00 00  1017.0   -14.3     3.1   141                                  
1983 02 07 03 00  1016.9   -12.4     2.7   115                                  
1983 02 07 06 00  1016.8   -12.6     1.8    90                                  
1983 02 07 09 00  1016.3   -12.4     3.1    90                                  
1983 02 07 12 00  1015.8   -12.8     4.9    90                                  
1983 02 07 15 00  1015.0   -12.6     4.9    90                                  
1983 02 07 18 00  1014.4   -13.3     4.5    90                                  
1983 02 07 21 00  1013.0   -12.4     6.8   135                                  
1983 02 08 00 00  1012.5   -11.8     6.8    90                                  
1983 02 08 03 00  1011.1   -11.3     6.8   101                                  
1983 02 08 06 00  1010.0   -10.8     6.2   165                                  
1983 02 08 09 00  1008.9   -11.8    10.3   180                                  
1983 02 08 12 00  1008.8   -12.5    16.6   163                                  
1983 02 08 15 00  1009.5   -13.1    14.8   180                                  
1983 02 08 18 00  1010.3   -14.3    12.1   180                                  
1983 02 08 21 00  1011.7   -13.6     5.5   160                                  
1983 02 09 00 00  1012.8   -13.0     0.0     0                                  
1983 02 09 03 00  1013.3   -11.9     1.0     0                                  
1983 02 09 06 00  1013.8   -12.1     1.0     0                                  
1983 02 09 09 00  1013.8   -15.9     1.4   236                                  
1983 02 09 12 00  1013.9   -15.8     4.9   260                                  
1983 02 09 15 00  1013.5   -16.9     4.1   280                                  
1983 02 09 18 00  1013.4   -18.3     4.9   309                                  
1983 02 09 21 00  1013.6   -17.3     3.5   298                                  
1983 02 10 00 00  1013.8   -12.0     6.8   316                                  
1983 02 10 03 00  1013.6    -9.4     4.1   301                                  
1983 02 10 06 00  1014.5    -7.4     3.5   289                                  
1983 02 10 09 00  1013.9   -12.4     5.5   288                                  
