Dolleman Island
Operated by US
latitude -70.58 longitude -60.92 height 396m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1986 03 19 15 00   949.2   -11.9     9.8   150                                  
1986 03 19 18 00   949.0   -11.9     7.4   133                                  
1986 03 19 21 00   949.2   -12.4     5.8   126                                  
1986 03 20 00 00   949.1   -12.6     6.8   144                                  
1986 03 20 03 00   948.9   -13.1     7.8   120                                  
1986 03 20 06 00   948.4   -13.5    10.3   149                                  
1986 03 20 09 00   948.5   -14.2    11.3   147                                  
1986 03 20 15 00   949.3   -15.2     9.4   146                                  
1986 03 20 18 00   949.8   -16.1    11.3   150                                  
1986 03 20 21 00   950.0   -17.2    14.8   151                                  
1986 03 21 00 00   951.2   -17.6    15.2   144                                  
1986 03 21 03 00   951.9   -18.0    10.7   129                                  
1986 03 21 06 00   952.0   -18.6    14.8   146                                  
1986 03 21 12 00   952.3   -19.2    15.2   150                                  
1986 03 21 15 00   952.4   -19.5    16.8   157                                  
1986 03 21 18 00   952.0   -20.0    20.7   156                                  
1986 03 21 21 00   952.1   -20.9    14.2   150                                  
1986 03 22 00 00   951.9   -20.7    14.2   151                                  
1986 03 22 03 00   951.2   -20.7    14.2   143                                  
1986 03 22 06 00   949.9   -21.1    14.2   136                                  
1986 03 22 09 00   949.5   -21.4     9.8   140                                  
1986 03 22 12 00   948.6   -20.1     6.4   122                                  
1986 03 22 15 00   947.1   -19.2     5.5   120                                  
1986 03 22 18 00   945.9   -19.0     4.9   123                                  
1986 03 22 21 00   945.0   -21.9     5.8   133                                  
1986 03 23 00 00   944.5   -22.6     8.8   139                                  
1986 03 23 03 00   943.8   -23.6    12.3   150                                  
1986 03 23 06 00   944.0   -24.9    11.3   143                                  
1986 03 23 09 00   944.3   -26.1     7.8   132                                  
1986 03 23 12 00   945.4   -25.5     2.9   130                                  
1986 03 23 15 00   945.8   -22.0     0.0     0                                  
1986 03 23 18 00   946.2   -23.1     0.0     0                                  
1986 03 23 21 00   947.0   -24.4     0.0     0                                  
1986 03 24 00 00   947.8   -26.7     8.8   347                                  
1986 03 24 03 00   947.7   -26.7     8.4   344                                  
1986 03 24 06 00   948.0   -26.7     7.8   355                                  
1986 03 24 09 00   948.4   -26.4     4.5   360                                  
1986 03 24 12 00   948.3   -23.5     2.9   357                                  
1986 03 24 15 00   948.3   -22.6     1.6   351                                  
1986 03 24 18 00   948.5   -21.5     3.9   347                                  
1986 03 24 21 00   948.2   -20.4     3.9   355                                  
1986 03 25 00 00   949.1   -20.2     0.0     0                                  
1986 03 25 03 00   949.4   -20.0     0.0     0                                  
1986 03 25 06 00   949.3   -19.6     0.0     0                                  
1986 03 25 09 00   948.9   -20.4     0.0     0                                  
1986 03 25 12 00   948.2   -21.6     7.4   133                                  
1986 03 25 15 00   946.9   -22.6     9.4   144                                  
1986 03 25 18 00   945.7   -23.2    17.2   163                                  
1986 03 25 21 00   944.8   -23.1    19.7   165                                  
1986 03 26 00 00   943.6   -23.5    29.4   158                                  
1986 03 26 03 00   942.0   -23.9    25.5   151                                  
1986 03 26 06 00   940.7   -23.6    31.0   163                                  
1986 03 26 09 00   939.2   -23.4    33.0   157                                  
1986 03 26 12 00   938.1   -22.1    29.4   144                                  
1986 03 26 15 00   937.8   -21.2    32.0   158                                  
1986 03 26 18 00   938.0   -20.0    31.4   156                                  
1986 03 26 21 00   938.4   -19.5    24.0   158                                  
1986 03 27 00 00   938.7   -18.5    20.7   163                                  
1986 03 27 03 00   938.5   -18.4    19.7   161                                  
1986 03 27 06 00   938.4   -19.5    14.8   158                                  
1986 03 27 09 00   938.1   -19.1    10.3   154                                  
1986 03 27 12 00   937.1   -19.7    11.3   154                                  
1986 03 27 15 00   934.5   -19.0    10.3   157                                  
1986 03 27 18 00   931.9   -19.5    14.8   154                                  
1986 03 27 21 00   929.1   -20.2    19.7   154                                  
1986 03 28 00 00   926.6   -19.9    27.5   153                                  
1986 03 28 03 00   924.4   -19.9    31.0   164                                  
1986 03 28 06 00   922.7   -19.5    24.0   168                                  
1986 03 28 09 00   922.4   -19.1    29.1   163                                  
1986 03 28 12 00   922.3   -17.5    32.0   164                                  
1986 03 28 15 00   922.6   -16.9    32.0   144                                  
1986 03 28 18 00   923.4   -17.4    31.0   151                                  
1986 03 28 21 00   924.6   -18.1    25.2   167                                  
1986 03 29 00 00   925.4   -19.0    26.5   163                                  
1986 03 29 03 00   926.3   -19.0    22.6   170                                  
1986 03 29 06 00   927.4   -16.5    17.2   167                                  
1986 03 29 09 00   928.2   -15.4     8.4   150                                  
1986 03 29 12 00   928.3   -15.6    10.3   150                                  
1986 03 29 15 00   927.9   -15.2     4.9   130                                  
1986 03 29 18 00   927.1   -17.1     5.5   120                                  
1986 03 29 21 00   926.5   -20.4     6.8   133                                  
1986 03 30 00 00   925.3   -21.6    13.3   136                                  
1986 03 30 03 00   923.9   -22.1    14.8   146                                  
1986 03 30 06 00   922.1   -22.7    20.1   150                                  
1986 03 30 09 00   920.9   -23.1    20.7   149                                  
1986 03 30 12 00   920.5   -23.4    23.6   151                                  
1986 03 30 15 00   920.4   -22.9    23.0   156                                  
1986 03 30 18 00   920.5   -22.7    21.6   150                                  
1986 03 30 21 00   921.7   -22.5    23.6   150                                  
1986 03 31 00 00   923.7   -20.6    17.2   158                                  
1986 03 31 03 00   925.3   -19.2    25.2   150                                  
1986 03 31 06 00   928.2   -17.9    21.1   164                                  
1986 03 31 09 00   931.3   -15.5    26.5   156                                  
1986 03 31 12 00   934.3   -15.7    18.7   150                                  
1986 03 31 15 00   937.2   -14.9    14.2   153                                  
1986 03 31 18 00   939.4   -15.0     8.8   154                                  
1986 03 31 21 00   941.3   -13.1     4.9   123                                  
1986 04 01 00 00   943.0   -14.0     0.0     0                                  
1986 04 01 03 00   942.8   -16.0    10.3   352                                  
1986 04 01 06 00   942.4   -16.7    11.3   351                                  
1986 04 01 09 00   942.0   -16.1    12.3   351                                  
1986 04 01 12 00   940.8   -18.0     6.8     2                                  
1986 04 01 15 00   939.7   -17.5    10.7     2                                  
1986 04 01 18 00   938.7   -15.5    15.2   354                                  
1986 04 01 21 00   938.3   -16.2    14.2   360                                  
1986 04 02 00 00   937.3   -16.0    13.8   360                                  
1986 04 02 03 00   935.7   -15.4    19.7   358                                  
1986 04 02 06 00   934.5   -13.6    14.2   352                                  
1986 04 02 09 00   933.1   -13.7     7.8    11                                  
1986 04 02 12 00   930.9   -13.6     9.8     8                                  
1986 04 02 15 00   929.7   -13.0    11.3   360                                  
1986 04 02 18 00   930.5   -12.0    10.7   347                                  
1986 04 02 21 00   932.8    -5.5     4.9   324                                  
1986 04 03 00 00   934.5    -7.1     4.9   323                                  
1986 04 03 03 00   935.7    -6.5     0.0     0                                  
1986 04 03 06 00   936.9    -7.7     0.0     0                                  
1986 04 03 09 00   938.1    -7.1     9.4    99                                  
1986 04 03 12 00   939.9    -9.0     9.8   140                                  
1986 04 03 15 00   941.0   -12.0    12.3   140                                  
1986 04 03 18 00   941.9   -11.9    15.8   150                                  
1986 04 03 21 00   942.9   -14.7    19.1   147                                  
1986 04 04 00 00   943.2   -16.7    18.1   156                                  
1986 04 04 03 00   943.2   -16.9    16.2   158                                  
1986 04 04 06 00   944.0   -16.4    16.8   156                                  
1986 04 04 09 00   945.3   -17.5    13.8   151                                  
1986 04 04 12 00   947.4   -15.0     5.8   125                                  
1986 04 04 15 00   949.0   -12.6     6.4   327                                  
1986 04 04 18 00   949.9   -13.7     8.4   347                                  
1986 04 04 21 00   950.5   -17.2    10.3   355                                  
1986 04 05 00 00   950.5   -18.6     8.4   360                                  
1986 04 05 03 00   949.9   -16.7    10.7   360                                  
1986 04 05 06 00   948.9   -15.4    18.7   354                                  
1986 04 05 09 00   947.3   -15.4    16.2   351                                  
1986 04 05 12 00   946.3   -14.2    17.2   344                                  
1986 04 05 15 00   945.1   -12.7     7.8   360                                  
1986 04 05 18 00   943.3    -9.4     9.8    11                                  
1986 04 05 21 00   941.1    -9.7     2.5    52                                  
1986 04 06 00 00   940.0   -10.0     3.9    12                                  
1986 04 06 03 00   938.7   -11.5     3.9   360                                  
1986 04 06 06 00   937.6   -10.7     2.5   355                                  
1986 04 06 09 00   936.3   -10.6     1.6   293                                  
1986 04 06 12 00   935.3    -9.1     2.9    11                                  
1986 04 06 15 00   933.5    -7.7     0.0     0                                  
1986 04 06 18 00   931.9    -7.7     0.6     0                                  
1986 04 06 21 00   931.3    -9.0     0.0     0                                  
1986 04 07 00 00   931.3   -10.5     6.4   157                                  
1986 04 07 03 00   931.8   -12.0    11.7   147                                  
1986 04 07 06 00   931.9   -12.1    10.7   161                                  
