AM02_new
Operated by Australia
latitude -69.70 longitude 72.63 height 47m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied byAAD

2001 02 10 15 04   983.8    -0.2     4.2   126                                  
2001 02 10 18 04   981.2 -999        6.4   114                                  
2001 02 10 19 03   979.8 -999        7.0   120                                  
2001 02 10 22 03   977.8 -999        9.6    78                                  
2001 02 10 23 03   978.0 -999       10.1    72                                  
2001 02 11 00 04   977.8    -0.1    12.0    66                                  
2001 02 11 02 03   978.0    -0.3    11.3    66                                  
2001 02 11 03 04   978.8    -0.4    10.5    66                                  
2001 02 11 04 03   979.6    -0.6     9.2    66                                  
2001 02 11 05 03   980.8    -0.7     9.4    66                                  
2001 02 11 06 04   981.4    -0.6     8.6    66                                  
2001 02 11 08 03   982.6    -0.5     5.8    54                                  
2001 02 11 10 03   983.8    -0.5     5.3    54                                  
2001 02 11 11 03   984.6    -0.5     4.9    48                                  
2001 02 11 12 04   985.4    -0.5     3.9    60                                  
2001 02 11 13 03   986.0    -0.6     3.8    66                                  
2001 02 11 14 03   986.8    -0.6     3.9    66                                  
2001 02 11 15 04   987.4    -0.7     4.0    66                                  
2001 02 11 16 03   988.2    -0.8     3.8    66                                  
2001 02 11 17 03   989.0    -0.8     3.3    60                                  
2001 02 11 18 04   989.4    -1.0     3.5    60                                  
2001 02 11 19 03   990.0    -1.2     3.6    66                                  
2001 02 11 20 03   990.6    -1.1     3.7    66                                  
2001 02 11 21 04   991.0    -1.4     3.6    66                                  
2001 02 11 22 03   991.4    -1.6     3.9    66                                  
2001 02 11 23 03   991.8    -1.6     4.2    66                                  
2001 02 12 00 04   992.2    -1.9     4.0    66                                  
2001 02 12 01 03   993.2    -2.0     4.0    66                                  
2001 02 12 03 04   994.0    -1.5     3.7    72                                  
2001 02 12 04 03   994.4    -1.1     3.7    72                                  
2001 02 12 06 04   995.2    -0.7     3.8    72                                  
2001 02 12 08 03   995.8    -0.5     3.8    66                                  
2001 02 12 09 04   996.2    -0.6     3.7    60                                  
2001 02 12 10 03   996.8    -0.6     3.3    60                                  
2001 02 12 11 03   996.8    -0.8     3.1    66                                  
2001 02 12 13 03   997.6    -1.4     3.6    66                                  
2001 02 12 14 03   997.8    -1.6     3.5    66                                  
2001 02 12 15 04   998.0    -1.8     3.6    72                                  
2001 02 12 16 03   998.4    -1.9     3.7    72                                  
2001 02 12 17 03   998.6    -2.1     3.5    78                                  
2001 02 12 18 04   998.6    -2.3     3.4    90                                  
2001 02 12 19 03   998.8    -2.0     3.6    78                                  
2001 02 12 20 03   998.8    -1.8     3.4    72                                  
2001 02 12 21 04   998.8    -1.8     3.2    72                                  
2001 02 12 23 03   998.6    -1.7 -999       72                                  
2001 02 13 01 03   997.8    -1.5 -999    -999                                   
2001 02 13 02 03   997.6    -0.5 -999    -999                                   
2001 02 13 04 03   996.2    -0.9 -999      264                                  
2001 02 13 06 04   995.2    -0.7     5.5   222                                  
2001 02 13 08 03   993.4    -0.6     8.7   210                                  
2001 02 13 09 04   992.8    -0.7     8.6   198                                  
2001 02 13 11 03   992.0    -1.6     8.2   204                                  
2001 02 13 13 03   992.0    -3.6     8.0   204                                  
2001 02 13 14 03   992.2    -4.7     7.4   210                                  
2001 02 13 15 04   992.2    -2.9     3.4   180                                  
2001 02 13 16 03   992.2    -5.3     1.8   114                                  
2001 02 13 18 04   992.2    -6.3     2.3   114                                  
2001 02 13 19 03   992.6    -9.2     2.4   132                                  
2001 02 13 21 04   992.6   -11.7     3.7   174                                  
2001 02 13 23 03   992.8   -13.2     2.3   180                                  
2001 02 14 00 04   993.0   -13.3     3.0   192                                  
2001 02 14 02 03   993.0   -11.8     3.8   204                                  
2001 02 14 04 03   993.0   -10.6     3.0   210                                  
2001 02 14 05 03   993.2   -11.3     3.4   222                                  
2001 02 14 06 04   993.2   -10.1     3.2   228                                  
2001 02 14 07 03   993.0    -8.8 -999      222                                  
2001 02 14 09 04   993.2    -6.4     0.0 -999                                   
2001 02 14 11 03   993.2    -6.5 -999      240                                  
2001 02 14 12 04   993.0    -6.5     2.6   228                                  
2001 02 14 14 03   991.8    -8.6     1.8   210                                  
2001 02 14 16 03   992.0   -12.4     1.6   252                                  
2001 02 14 17 03   991.6   -13.9     2.5   216                                  
2001 02 14 19 03   991.0   -16.2     2.2   234                                  
2001 02 14 21 04   990.2   -17.3     1.7   222                                  
2001 02 14 22 03   990.2   -17.4     1.9   216                                  
2001 02 14 23 03   989.8   -18.4     2.2   222                                  
2001 02 15 00 04   989.4   -18.4     1.9   204                                  
2001 02 15 02 03   989.4   -15.7     1.5   234                                  
2001 02 15 03 04   989.0   -14.3     1.8   222                                  
2001 02 15 05 03   988.4   -10.4     1.6   186                                  
2001 02 15 07 03   988.2    -7.9     2.6   198                                  
2001 02 15 09 04   987.6    -5.4     2.9   174                                  
2001 02 15 10 03   987.2    -2.9     3.0   132                                  
2001 02 15 11 03   987.0    -3.1     4.6    90                                  
2001 02 15 12 04   987.0    -3.3     4.6 -999                                   
2001 02 15 14 03   987.4    -4.3     4.6    54                                  
2001 02 15 15 04   987.6    -4.7     3.0    60                                  
2001 02 15 16 03   987.6    -5.0     4.1    78                                  
2001 02 15 17 03   987.6    -5.4     3.8    72                                  
2001 02 15 19 03   987.8    -5.5     4.5    84                                  
2001 02 15 20 03   987.6    -5.5     4.2   108                                  
2001 02 15 21 04   987.8    -5.6     4.5    54                                  
2001 02 15 22 03   987.8    -6.1     4.2    90                                  
2001 02 16 00 04   988.0    -7.3     2.8   102                                  
2001 02 16 01 03   988.0    -8.4     3.2   144                                  
2001 02 16 03 04   988.0    -5.8     3.2   120                                  
2001 02 16 05 03   988.0    -4.9     3.5   108                                  
2001 02 16 07 03   987.8    -3.6     4.5    96                                  
2001 02 16 09 04   987.6    -3.4     5.7    78                                  
2001 02 16 10 03   987.8    -3.5     5.9    66                                  
2001 02 16 12 04   987.6    -4.6     2.5    84                                  
2001 02 16 13 03   987.4    -5.2     2.2    96                                  
2001 02 16 14 03   987.2    -6.8     2.3   126                                  
2001 02 16 15 04   987.2    -7.5     2.4   162                                  
2001 02 16 17 03   987.0    -8.5     2.0   162                                  
2001 02 16 18 04   986.8    -8.9     2.1   168                                  
2001 02 16 19 03   986.8    -8.9     1.8   174                                  
2001 02 16 20 03   986.6    -8.9     1.5   168                                  
2001 02 16 22 03   986.8    -9.9     1.9   180                                  
2001 02 16 23 03   986.6    -9.9     2.0   204                                  
2001 02 17 00 04   986.2   -10.5     2.2   222                                  
2001 02 17 01 03   986.2   -10.3     2.4   222                                  
2001 02 17 03 04   985.8   -10.0     4.1   210                                  
2001 02 17 04 03   985.6    -9.7     4.2   222                                  
2001 02 17 05 03   985.6    -9.6     4.1   222                                  
