Filchner_new
Operated by Germany
latitude -77.08 longitude -51.22 height 999m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by AWI

1991 01 01 00 00 -999    -999    -999    -999                                   
1991 01 25 03 00   997.1    -3.8    10.0   268                                  
1991 01 25 06 00   997.8    -3.7     8.6   268                                  
1991 01 25 09 00   998.5    -3.7     6.0   267                                  
1991 01 25 12 00   998.6    -3.5     8.5   313                                  
1991 01 25 15 00   998.3    -2.8     5.5   358                                  
1991 01 25 18 00   997.8    -3.2    14.4   312                                  
1991 01 25 21 00   997.3    -3.8    16.8   313                                  
1991 01 26 00 00   997.0    -3.5    13.9   310                                  
1991 01 26 03 00   997.2    -4.5     9.9   312                                  
1991 01 26 06 00   997.0    -5.6     6.0   313                                  
1991 01 26 09 00   996.7    -4.8     1.6   358                                  
1991 01 26 12 00   996.2    -4.3     7.3    88                                  
1991 01 26 15 00   995.6    -3.4     8.0    77                                  
1991 01 26 18 00   995.5    -3.8    14.2    87                                  
1991 01 26 21 00   995.5    -4.3    15.4    88                                  
1991 01 27 00 00   995.3    -4.5    15.6    61                                  
1991 01 27 03 00   995.2    -4.7    15.0    87                                  
1991 01 27 06 00   995.9    -5.4    13.0    43                                  
1991 01 27 09 00   996.1    -7.4    10.0    88                                  
1991 01 27 12 00   996.2    -6.8     8.3    87                                  
1991 01 27 15 00   995.8    -4.1    11.6    88                                  
1991 01 27 18 00   995.7    -4.0     7.5    87                                  
1991 01 27 21 00   995.7    -4.0     6.4    87                                  
1991 01 28 00 00   995.6    -4.4     7.4   137                                  
1991 01 28 03 00   995.5    -5.7     3.5    87                                  
1991 01 28 06 00   995.7    -6.9     6.0    88                                  
1991 01 28 09 00   995.9    -6.5     0.7    88                                  
1991 01 28 12 00   995.8    -6.4     1.3   103                                  
1991 01 28 15 00   995.6    -6.8     6.7   133                                  
1991 01 28 18 00   995.8    -6.7     7.3   160                                  
