Clamp4
Operated by UK
latitude -76.81 longitude -25.50 height 1650m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the British Antarctic Survey

1997 12 15 21 00 -999      -14.8     4.5   162                                  
1997 12 15 22 00 -999      -18.8     8.2   158                                  
1997 12 15 23 00 -999      -18.5     8.2   159                                  
1997 12 16 00 00 -999      -20.3     9.4   162                                  
1997 12 16 01 00 -999      -21.4    10.3   160                                  
1997 12 16 02 00 -999      -22.2    10.9   162                                  
1997 12 16 03 00 -999      -20.5    11.5   162                                  
1997 12 16 04 00 -999      -20.2     9.9   153                                  
1997 12 16 05 00 -999      -18.7    10.1   159                                  
1997 12 16 06 00 -999      -17.5     9.9   155                                  
1997 12 16 07 00 -999      -17.2     7.0   162                                  
1997 12 16 08 00 -999      -17.1     7.0   154                                  
1997 12 16 09 00 -999      -16.2     7.0   159                                  
1997 12 16 10 00 -999      -15.5     6.0   148                                  
1997 12 16 11 00 -999      -14.7     8.6   151                                  
1997 12 16 12 00 -999      -14.1     7.2   143                                  
1997 12 16 13 00 -999      -14.3     5.5   115                                  
1997 12 16 14 00 -999      -14.4     5.5   115                                  
1997 12 16 15 00 -999      -14.6     6.2   104                                  
1997 12 16 16 00 -999      -14.6     5.5   103                                  
1997 12 16 17 00 -999      -14.8     4.7   100                                  
1997 12 16 18 00 -999      -15.3     4.1    99                                  
1997 12 16 19 00 -999      -16.1     3.7   101                                  
1997 12 16 20 00 -999      -17.2     5.5   114                                  
1997 12 16 21 00 -999      -18.6     3.9    91                                  
1997 12 16 22 00 -999      -19.6     4.1   102                                  
1997 12 16 23 00 -999      -20.5     4.1    95                                  
1997 12 17 00 00 -999      -21.9     4.1    97                                  
1997 12 17 01 00 -999      -23.1     5.5    94                                  
1997 12 17 02 00 -999      -24.2     6.2    91                                  
1997 12 17 03 00 -999      -23.2     5.8    92                                  
1997 12 17 04 00 -999      -23.5     6.0    89                                  
1997 12 17 05 00 -999      -21.5     7.0    92                                  
1997 12 17 06 00 -999      -20.9     6.8    91                                  
1997 12 17 07 00 -999      -19.4     6.6    92                                  
1997 12 17 08 00 -999      -18.6     6.6   103                                  
1997 12 17 09 00 -999      -17.6     6.6    99                                  
1997 12 17 10 00 -999      -16.4     6.6    92                                  
1997 12 17 11 00 -999      -15.2     7.8    94                                  
1997 12 17 12 00 -999      -14.8     8.4    85                                  
1997 12 17 13 00 -999      -14.3     9.2    71                                  
1997 12 17 14 00 -999      -13.9     9.4    71                                  
1997 12 17 15 00 -999      -13.8     8.6    72                                  
1997 12 17 16 00 -999      -13.9     9.8    63                                  
1997 12 17 17 00 -999      -13.8     7.4    59                                  
1997 12 17 18 00 -999      -14.2     6.0    72                                  
1997 12 17 19 00 -999      -15.1     5.3    86                                  
1997 12 17 20 00 -999      -16.6     6.2    91                                  
1997 12 17 21 00 -999      -18.2     5.7    95                                  
1997 12 17 22 00 -999      -18.7     8.0   104                                  
1997 12 17 23 00 -999      -19.8    10.1   107                                  
1997 12 18 00 00 -999      -20.3     6.8    93                                  
1997 12 18 01 00 -999      -20.4     7.6   109                                  
1997 12 18 02 00 -999      -20.1     6.8   101                                  
1997 12 18 03 00 -999      -20.3     9.0   118                                  
1997 12 18 04 00 -999      -19.5    10.7   123                                  
1997 12 18 05 00 -999      -19.6    10.1   124                                  
1997 12 18 06 00 -999      -18.3     9.4   123                                  
1997 12 18 07 00 -999      -17.6     9.8   121                                  
1997 12 18 08 00 -999      -16.6     9.2   118                                  
1997 12 18 09 00 -999      -16.0     9.4   121                                  
1997 12 18 10 00 -999      -14.6     9.4   121                                  
1997 12 18 11 00 -999      -13.9     9.8   126                                  
1997 12 18 12 00 -999      -13.3     7.8   148                                  
1997 12 18 13 00 -999      -12.5     9.0   139                                  
1997 12 18 14 00 -999      -12.0     9.2   126                                  
1997 12 18 15 00 -999      -12.2     7.6   140                                  
1997 12 18 16 00 -999      -12.1     7.8   141                                  
1997 12 18 17 00 -999      -12.4     6.6   148                                  
1997 12 18 18 00 -999      -13.1     7.0   153                                  
1997 12 18 19 00 -999      -14.3     7.4   163                                  
1997 12 18 20 00 -999      -15.8     8.4   156                                  
1997 12 18 21 00 -999      -17.2     8.4   152                                  
1997 12 18 22 00 -999      -18.0     8.8   142                                  
1997 12 18 23 00 -999      -18.4     7.6   129                                  
1997 12 19 00 00 -999      -19.9     7.6   129                                  
1997 12 19 01 00 -999      -20.5     6.2    92                                  
1997 12 19 02 00 -999      -23.6     6.4    93                                  
1997 12 19 03 00 -999      -24.0     6.4    94                                  
1997 12 19 04 00 -999      -23.3     6.2    87                                  
1997 12 19 05 00 -999      -22.2     6.4    98                                  
1997 12 19 06 00 -999      -20.8     5.7   100                                  
1997 12 19 07 00 -999      -19.6     6.2    94                                  
1997 12 19 08 00 -999      -18.0     5.3    91                                  
1997 12 19 09 00 -999      -16.5     5.8    92                                  
1997 12 19 10 00 -999      -14.6     6.2    74                                  
1997 12 19 11 00 -999      -14.0     6.8    71                                  
1997 12 19 12 00 -999      -13.5     8.6    68                                  
1997 12 19 13 00 -999      -13.2     8.4    63                                  
1997 12 19 14 00 -999      -13.3     9.4    56                                  
1997 12 19 15 00 -999      -13.7    12.9    65                                  
1997 12 19 16 00 -999      -13.7    10.5    58                                  
1997 12 19 17 00 -999      -13.9    10.7    58                                  
